agegp,alcgp,tobgp,ncases,ncontrols
25-34,0-39,0-9,0,40
25-34,0-39,10-19,0,10
25-34,0-39,20-29,0,6
25-34,0-39,30+,0,5
25-34,40-79,0-9,0,27
25-34,40-79,10-19,0,7
25-34,40-79,20-29,0,4
25-34,40-79,30+,0,7
25-34,80-119,0-9,0,2
25-34,80-119,10-19,0,1
25-34,80-119,30+,0,2
25-34,120+,0-9,0,1
25-34,120+,10-19,1,1
25-34,120+,20-29,0,1
25-34,120+,30+,0,2
35-44,0-39,0-9,0,60
35-44,0-39,10-19,1,14
35-44,0-39,20-29,0,7
35-44,0-39,30+,0,8
35-44,40-79,0-9,0,35
35-44,40-79,10-19,3,23
35-44,40-79,20-29,1,14
35-44,40-79,30+,0,8
35-44,80-119,0-9,0,11
35-44,80-119,10-19,0,6
35-44,80-119,20-29,0,2
35-44,80-119,30+,0,1
35-44,120+,0-9,2,3
35-44,120+,10-19,0,3
35-44,120+,20-29,2,4
45-54,0-39,0-9,1,46
45-54,0-39,10-19,0,18
45-54,0-39,20-29,0,10
45-54,0-39,30+,0,4
45-54,40-79,0-9,6,38
45-54,40-79,10-19,4,21
45-54,40-79,20-29,5,15
45-54,40-79,30+,5,7
45-54,80-119,0-9,3,16
45-54,80-119,10-19,6,14
45-54,80-119,20-29,1,5
45-54,80-119,30+,2,4
45-54,120+,0-9,4,4
45-54,120+,10-19,3,4
45-54,120+,20-29,2,3
45-54,120+,30+,4,4
55-64,0-39,0-9,2,49
55-64,0-39,10-19,3,22
55-64,0-39,20-29,3,12
55-64,0-39,30+,4,6
55-64,40-79,0-9,9,40
55-64,40-79,10-19,6,21
55-64,40-79,20-29,4,17
55-64,40-79,30+,3,6
55-64,80-119,0-9,9,18
55-64,80-119,10-19,8,15
55-64,80-119,20-29,3,6
55-64,80-119,30+,4,4
55-64,120+,0-9,5,10
55-64,120+,10-19,6,7
55-64,120+,20-29,2,3
55-64,120+,30+,5,6
65-74,0-39,0-9,5,48
65-74,0-39,10-19,4,14
65-74,0-39,20-29,2,7
65-74,0-39,30+,0,2
65-74,40-79,0-9,17,34
65-74,40-79,10-19,3,10
65-74,40-79,20-29,5,9
65-74,80-119,0-9,6,13
65-74,80-119,10-19,4,12
65-74,80-119,20-29,2,3
65-74,80-119,30+,1,1
65-74,120+,0-9,3,4
65-74,120+,10-19,1,2
65-74,120+,20-29,1,1
65-74,120+,30+,1,1
75+,0-39,0-9,1,18
75+,0-39,10-19,2,6
75+,0-39,30+,1,3
75+,40-79,0-9,2,5
75+,40-79,10-19,1,3
75+,40-79,20-29,0,3
75+,40-79,30+,1,1
75+,80-119,0-9,1,1
75+,80-119,10-19,1,1
75+,120+,0-9,2,2
75+,120+,10-19,1,1
